Id;Title;Year;Rated;Released;Genre;Actors;Language;Country;Poster;Type
tt0848228;The Avengers;2012;PG-13;04 May 2012;Action, Sci-Fi;Robert Downey Jr., Chris Evans, Scarlett Johansson;English, Russian;United States;https://m.media-amazon.com/images/M/MV5BNDYxNjQyMjAtNTdiOS00NGYwLWFmNTAtNThmYjU5ZGI2YTI1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg;movie
tt4154796;Avengers: Endgame;2019;PG-13;26 Apr 2019;Action, Adventure, Drama;Robert Downey Jr., Chris Evans, Mark Ruffalo;English, Japanese, Xhosa, German;United States;https://m.media-amazon.com/images/M/MV5BMTc5MDE2ODcwNV5BMl5BanBnXkFtZTgwMzI2NzQ2NzM@._V1_SX300.jpg;movie
tt4154756;Avengers: Infinity War;2018;PG-13;27 Apr 2018;Action, Adventure, Sci-Fi;Robert Downey Jr., Chris Hemsworth, Mark Ruffalo;English;United States;https://m.media-amazon.com/images/M/MV5BMjMxNjY2MDU1OV5BMl5BanBnXkFtZTgwNzY1MTUwNTM@._V1_SX300.jpg;movie
tt2395427;Avengers: Age of Ultron;2015;PG-13;01 May 2015;Action, Adventure, Sci-Fi;Robert Downey Jr., Chris Evans, Mark Ruffalo;English, Korean;United States;https://m.media-amazon.com/images/M/MV5BMTM4OGJmNWMtOTM4Ni00NTE3LTg3MDItZmQxYjc4N2JhNmUxXkEyXkFqcGdeQXVyNTgzMDMzMTg@._V1_SX300.jpg;movie
tt2258647;The Dark Knight;2011;Not Rated;11 Jul 2011;Action, Fantasy;Kyle Walsh, Aaron Farb, Debra Lopez, Bruce Spielbauer;English;USA;https://m.media-amazon.com/images/M/MV5BMzIxNzU4NjkwMV5BMl5BanBnXkFtZTgwNDU4NjM4MDE@._V1_SX300.jpg;movie
tt3976222;The Dark Knight Rises;2012;N/A;20 Jul 2012;Action, Adventure, Drama, Mystery, Thriller;Sean Schemmel, Jason Griffith, Gregory Abbey, Sarah Natochenny;English;France;https://m.media-amazon.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@._V1_SX300.jpg;game
tt1233205;Iron Man;2008;T;02 May 2008;Action, Adventure, Sci-Fi;Robert Downey Jr., Terrence Howard, Shaun Toub, Dimitri Diatchenko;English;USA, Canada;https://m.media-amazon.com/images/M/MV5BNjMwNDkwNDctYjQ0MS00OTdlLWE0MmEtYzdjOGNmYmRhZDhmXkEyXkFqcGdeQXVyNjQ1Njk4MzM@._V1_SX300.jpg;game
tt1260572;Thor: Hammer of the Gods;2009;N/A;11 Apr 2009;Action, Adventure, Drama;Zachery Ty Bryan, Alexis Kendra, Mac Brandt;English;Bulgaria, United States;https://m.media-amazon.com/images/M/MV5BNTFkMDA5ODEtMTQ1NC00NGRhLWE3ZGQtOGE5ZGJkMGI1ZDI5XkEyXkFqcGdeQXVyMjI1NjEzNjg@._V1_SX300.jpg;movie
tt3501632;Thor: Ragnarok;2017;PG-13;03 Nov 2017;Action, Adventure, Comedy;Chris Hemsworth, Tom Hiddleston, Cate Blanchett;English;United States, Australia;https://m.media-amazon.com/images/M/MV5BMjMyNDkzMzI1OF5BMl5BanBnXkFtZTgwODcxODg5MjI@._V1_SX300.jpg;movie
tt0800369;Thor;2011;PG-13;06 May 2011;Action, Fantasy;Chris Hemsworth, Anthony Hopkins, Natalie Portman;English;United States;https://m.media-amazon.com/images/M/MV5BOGE4NzU1YTAtNzA3Mi00ZTA2LTg2YmYtMDJmMThiMjlkYjg2XkEyXkFqcGdeQXVyNTgzMDMzMTg@._V1_SX300.jpg;movie
